"DATE START: 2016-05-01","DATE END: 2016-05-17","MAIN CURRENCY:Euro"
" "," "," "
DATE,NAME,"CONVERSION RATE","CASINO BET","CASINO WIN","CASINO NET","ROYALPK BET","ROYALPK WIN","ROYALPK NET","FOREX BET","FOREX WIN","FOREX NET","BETTING BET","BETTING WIN","BETTING NET","BETTING LIVE BET","BETTING LIVE WIN","BETTING LIVE NET","POKER LIVE BET","POKER LIVE WIN","POKER LIVE DIFF","POKER LIVE RAKE","POKER 2D BET","POKER 2D WIN","POKER 2D DIFF","POKER 2D RAKE"
" "," "," "
" "," "," "
2016-05,dollaro,none,"307,242.59","283,933.23","23,309.36",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"172,959.77","163,956.27","9,003.50","8,381.02",0.00,0.00,0.00,0.00
2016-05,BlueOceanGaming,none,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,827.62","1,839.59",-11.97,88.99,0.00,0.00,0.00,0.00
2016-05,Jebetting,none,"4,702.63","4,361.43",341.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,162.85,139.30,23.55,9.39,0.00,0.00,0.00,0.00
2016-05,DBGBetting,none,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,178.27","13,505.07","-5,326.80",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-05,777Gaming,none,"5,925.02","5,232.66",692.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-05,[Curacao]BlueOceanGaming,none,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.87,19.33,-6.46,0.53,0.00,0.00,0.00,0.00
2016-05,[USD]VLTGroup,USD(1.1330),"10,600.19","7,921.72","2,678.46",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-05,[GEL]LasVegas,GEL(2.4816),681.08,486.72,194.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-05,"[WM] BetClock",none,"3,998.70","3,342.11",656.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-05,"[WM] BetClockPKL",none,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,992.52","6,574.17",418.35,305.68,0.00,0.00,0.00,0.00
2016-05,Sekabet,none,"4,111.10","3,967.24",143.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
